"CHART","VAR","SEXF","HTCMGRP","L","M","S","P3","P5","P10","P25","P50","P75","P90","P95","P97"
"CDC","HTWT",1,"[82,83)",-0.824007806,11.13210717,0.079141623,9.673874713,9.837253816,10.0988884,10.56549933,11.13210717,11.75669976,12.37585953,12.77557129,13.04798203
"CDC","HTWT",1,"[83,84)",-0.824673085,11.35309164,0.078762888,9.872236954,10.03823028,10.30400903,10.77788274,11.35309164,11.98689198,12.61490029,13.02017859,13.29631805
"CDC","HTWT",1,"[84,85)",-0.839021353,11.57405623,0.078460511,10.07082987,10.2392715,10.50899902,10.9900078,11.57405623,12.21784683,12.85603662,13.26804494,13.54884494
"CDC","HTWT",1,"[85,86)",-0.868191531,11.79524697,0.078240047,10.26984825,10.44056188,10.71403421,11.20206069,11.79524697,12.44994139,13.0998487,13.51992325,13.80645301
"CDC","HTWT",1,"[86,87)",-0.912987527,12.0169203,0.078105554,10.46949211,10.64229536,10.9193044,11.41424337,12.0169203,12.68355339,13.346911,13.77656207,14.07003317
"CDC","HTWT",1,"[87,88)",-0.973732843,12.23934838,0.078059544,10.66996042,10.84467191,11.12501362,11.62677789,12.23934838,12.91906338,13.59778826,14.03869722,14.3404656
"CDC","HTWT",1,"[88,89)",-1.050238631,12.46281861,0.078102898,10.87145032,11.04789724,11.33138025,11.83990685,12.46281861,13.15685175,13.85303006,14.3070456,14.61861423
"CDC","HTWT",1,"[89,90)",-1.141750538,12.68763627,0.078234935,11.07415394,11.25218061,11.53863663,12.05389519,12.68763627,13.39729953,14.1131669,14.5822978,14.90531723
"CDC","HTWT",1,"[90,91)",-1.246935039,12.9141268,0.078453576,11.27825609,11.45773296,11.74702786,12.26903094,12.9141268,13.64078954,14.37870706,14.86511095,15.20137719
"CDC","HTWT",1,"[91,92)",-1.363881842,13.1426393,0.078755652,11.48393116,11.66476403,11.95681,12.48562589,13.1426393,13.88771008,14.65013514,15.1561012,15.50754879
"CDC","HTWT",1,"[92,93)",-1.490235591,13.37354263,0.079137144,11.69134669,11.87348344,12.16824818,12.70401141,13.37354263,14.13845236,14.92790917,15.45583919,15.82453284
