"CHART","VAR","SEXF","AGEGRP","L","M","S","P3","P5","P10","P25","P50","P75","P90","P95","P97"
"CDC","BMI",0,"[188,189)",-2.070020599,20.32523642,0.134555663,16.58275947,16.93969043,17.53860547,18.70320922,20.32523642,22.47469037,25.15773327,27.32710417,29.08835404
"CDC","BMI",0,"[189,190)",-2.062253431,20.38346455,0.13446991,16.62969112,16.98792443,17.58893048,18.7572281,20.38346455,22.53652401,25.22031884,27.38674888,29.14297232
"CDC","BMI",0,"[190,191)",-2.054495145,20.44161501,0.134381553,16.67661334,17.03614547,17.63923518,18.8112072,20.44161501,22.59821392,25.28266636,27.4460882,29.19725256
"CDC","BMI",0,"[191,192)",-2.046748156,20.49967894,0.134290916,16.72351369,17.08434122,17.68950749,18.86513537,20.49967894,22.65975645,25.34478272,27.50514126,29.25122631
"CDC","BMI",0,"[192,193)",-2.039015385,20.5576474,0.134198323,16.77037969,17.13249925,17.73973524,18.91900132,20.5576474,22.72114803,25.40667527,27.56392793,29.30492601
"CDC","BMI",0,"[193,194)",-2.031300282,20.6155114,0.134104101,16.81719878,17.18060709,17.78990616,18.97279368,20.6155114,22.78238517,25.46835171,27.62246873,29.35838499
"CDC","BMI",0,"[194,195)",-2.023606828,20.67326189,0.134008581,16.86395838,17.22865219,17.8400079,19.02650098,20.67326189,22.84346448,25.52982017,27.68078489,29.41163748
"CDC","BMI",0,"[195,196)",-2.015942013,20.73088905,0.133912066,16.91064668,17.27662259,17.89002837,19.08011149,20.73088905,22.90438167,25.59108848,27.73889854,29.46472007
"CDC","BMI",0,"[196,197)",-2.008305745,20.7883851,0.133814954,16.95724926,17.32450423,17.93995429,19.13361379,20.7883851,22.96513563,25.65216707,27.79683185,29.51766572
"CDC","BMI",0,"[197,198)",-2.000706389,20.84574003,0.133717552,17.0037543,17.37228509,17.98977343,19.18699593,20.84574003,23.02572213,25.71306451,27.85460837,29.57051295
"CDC","BMI",0,"[198,199)",-1.993150137,20.90294449,0.1336202,17.05014902,17.41995236,18.03947307,19.24024598,20.90294449,23.08613815,25.77379055,27.91225209,29.62329955
"CDC","BMI",0,"[199,200)",-1.985643741,20.95998909,0.133523244,17.09642062,17.46749315,18.0890404,19.29335192,20.95998909,23.14638076,25.83435539,27.96978771,29.67606419
"CDC","BMI",0,"[200,201)",-1.97819451,21.01686433,0.133427032,17.1425562,17.51489451,18.1384625,19.34630158,21.01686433,23.20644712,25.89476963,28.02724061,29.72884644
"CDC","BMI",0,"[201,202)",-1.970810308,21.07356067,0.133331914,17.18854287,17.56214342,18.18772638,19.39908272,21.07356067,23.26633451,25.95504426,28.08463689,29.78168674
"CDC","BMI",0,"[202,203)",-1.96349954,21.1300685,0.133238245,17.23436764,17.60922679,18.23681892,19.45168294,21.1300685,23.3260403,26.01519074,28.1420033,29.83462638
"CDC","BMI",0,"[203,204)",-1.956271141,21.18637813,0.133146383,17.2800175,17.65613146,18.28572693,19.50408975,21.18637813,23.38556196,26.07522093,28.19936732,29.88770757
"CDC","BMI",0,"[204,205)",-1.949134561,21.24247982,0.13305669,17.32547937,17.70284417,18.3344371,19.55629056,21.24247982,23.44489706,26.13514709,28.25675709,29.94097335
"CDC","BMI",0,"[205,206)",-1.942099744,21.29836376,0.132969531,17.37074012,17.74935161,18.38293604,19.60827264,21.29836376,23.50404332,26.19498193,28.31420146,29.99446764
"CDC","BMI",0,"[206,207)",-1.935177101,21.35402009,0.132885274,17.41578654,17.79564039,18.43121023,19.66002316,21.35402009,23.56299853,26.2547386,28.37172995,30.04823522
"CDC","BMI",0,"[207,208)",-1.92837748,21.40943891,0.132804292,17.46060537,17.84169701,18.47924607,19.71152919,21.40943891,23.62176064,26.31443063,28.42937274,30.10232173
"CDC","BMI",0,"[208,209)",-1.921712136,21.46461026,0.132726962,17.50518327,17.8875079,18.52702984,19.76277767,21.46461026,23.68032771,26.37407203,28.48716074,30.15677367
"CDC","BMI",0,"[209,210)",-1.915192685,21.51952414,0.132653664,17.54950683,17.9330594,18.57454772,19.81375546,21.51952414,23.73869794,26.4336772,28.54512548,30.21163837
"CDC","BMI",0,"[210,211)",-1.908831065,21.57417053,0.132584784,17.59356252,17.97833773,18.62178578,19.8644493,21.57417053,23.79686967,26.49326098,28.60329919,30.26696403
"CDC","BMI",0,"[211,212)",-1.902639482,21.62853937,0.132520711,17.63733676,18.02332903,18.66872998,19.91484586,21.62853937,23.85484139,26.55283865,28.66171476,30.32279966
"CDC","BMI",0,"[212,213)",-1.896630358,21.68262062,0.132461838,17.68081585,18.06801933,18.71536617,19.96493169,21.68262062,23.91261174,26.6124259,28.72040572,30.37919514
"CDC","BMI",0,"[213,214)",-1.890816268,21.73640419,0.132408563,17.72398595,18.11239453,18.76168008,20.01469327,21.73640419,23.97017953,26.67203887,28.77940629,30.43620115
"CDC","BMI",0,"[214,215)",-1.885209876,21.78988003,0.132361289,17.76683315,18.15644042,18.80765734,20.06411699,21.78988003,24.02754374,26.73169411,28.8387513,30.49386923
"CDC","BMI",0,"[215,216)",-1.879823505,21.84303819,0.132320427,17.80934323,18.20014256,18.8532834,20.11318921,21.84303819,24.08470367,26.79140871,28.89847621,30.55225152
"CDC","BMI",0,"[216,217)",-1.874670324,21.8958685,0.132286382,17.85150219,18.24348662,18.89854373,20.16189615,21.8958685,24.14165845,26.85119991,28.9586172,30.61140148
"CDC","BMI",0,"[217,218)",-1.869760299,21.94836168,0.1322596,17.89329472,18.28645727,18.94342321,20.21022414,21.94836168,24.19840866,26.91108626,29.0192108,30.67137176
"CDC","BMI",0,"[218,219)",-1.865113245,22.00050569,0.132240418,17.93470899,18.32904183,18.98790813,20.25815885,22.00050569,24.25495098,26.97108394,29.08029503,30.73222122
"CDC","BMI",0,"[219,220)",-1.860734944,22.05229242,0.13222933,17.97572809,18.37122369,19.03198262,20.3056868,22.05229242,24.31128792,27.03121333,29.14190734,30.79400211
"CDC","BMI",0,"[220,221)",-1.85663384,22.10371305,0.132226801,18.01633608,18.41298696,19.07563119,20.35279433,22.10371305,24.36742097,27.09149434,29.20408599,30.85676906
"CDC","BMI",0,"[221,222)",-1.852827186,22.15475603,0.132233201,18.05651989,18.45431794,19.11883943,20.39946695,22.15475603,24.42334799,27.15194482,29.26687079,30.92058278
"CDC","BMI",0,"[222,223)",-1.849323204,22.20541249,0.132248993,18.09626344,18.49520062,19.16159172,20.44569089,22.20541249,24.47907063,27.21258528,29.33030127,30.9855
"CDC","BMI",0,"[223,224)",-1.846131607,22.255673,0.132274625,18.13555112,18.53561932,19.2038726,20.49145219,22.255673,24.53458985,27.27343608,29.39441777,31.05157949
"CDC","BMI",0,"[224,225)",-1.843261294,22.30552831,0.132310549,18.17436706,18.57555819,19.24566649,20.53673687,22.30552831,24.58990692,27.33451796,29.45926122,31.1188808
"CDC","BMI",0,"[225,226)",-1.840720248,22.3549693,0.132357221,18.21269512,18.61500111,19.28695764,20.581531,22.3549693,24.64502338,27.39585208,29.52487306,31.18746427
"CDC","BMI",0,"[226,227)",-1.83851544,22.40398706,0.132415103,18.25051886,18.65393178,19.32773023,20.62582066,22.40398706,24.69994107,27.45746001,29.59129532,31.25739102
"CDC","BMI",0,"[227,228)",-1.83665586,22.45257182,0.132484631,18.28782254,18.69233437,19.36796858,20.66959159,22.45257182,24.75466075,27.51936283,29.65857091,31.32872478
"CDC","BMI",0,"[228,229)",-1.835138046,22.50071778,0.132566359,18.3245866,18.73019025,19.40765581,20.71283095,22.50071778,24.80918852,27.58158516,29.72674204,31.40152344
"CDC","BMI",0,"[229,230)",-1.833972004,22.54841437,0.132660699,18.36079565,18.7674838,19.44677624,20.75552409,22.54841437,24.86352415,27.64414785,29.79585303,31.47585441
"CDC","BMI",0,"[230,231)",-1.833157751,22.59565422,0.132768153,18.39643137,18.80419732,19.48531336,20.79765756,22.59565422,24.91767166,27.70707459,29.86594782,31.55178078
"CDC","BMI",0,"[231,232)",-1.83269562,22.64242956,0.132889211,18.43147564,18.84031318,19.52325062,20.83921773,22.64242956,24.97163459,27.77038891,29.93707103,31.62936748
"CDC","BMI",0,"[232,233)",-1.832584342,22.68873292,0.133024368,18.46590991,18.87581348,19.56057136,20.88019106,22.68873292,25.02541685,27.83411475,30.00926778,31.7086802
"CDC","BMI",0,"[233,234)",-1.832820974,22.73455713,0.133174129,18.49971524,18.91067999,19.59725875,20.9205641,22.73455713,25.07902274,27.89827645,30.08258369,31.78978539
